pid,trial_index,action_time,actions,block,path,queries,reward,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trialTime,trial_type,reward_withheld
60fd5adad03767cff6dddda8,1,"[14322, 15141, 15843]","['left', 'left', 'down']",begin,"['0', '0', '9', '10', '12']","{'click': {'state': {'target': ['9', '5', '1', '4', '12', '8'], 'time': [4260, 6325, 7333, 10611, 12052, 13074]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '9', '0', '5', '1', '0', '4', '12', '8'], 'time': [3324, 3711, 4893, 4993, 6911, 8911, 9932, 11799, 12779]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '0', '0', '9', '0', '5', '1', '0', '1', '4', '12', '8'], 'time': [1155, 1427, 3659, 4872, 4962, 6849, 8809, 9159, 9259, 11308, 12412, 13533]}, 'edge': {'target': [], 'time': []}}}","[4, -4, 24]","[12556, 325, 203]",0,0,23,"[None, None, None]","['', 4, -8, 48, -24, 4, -4, -48, -48, 4, -4, 24, 24]",1042195,20318,mouselab-mdp,False
60fd5adad03767cff6dddda8,2,"[8307, 8959, 9608]","['up', 'up', 'left']",begin,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['1', '9', '5', '4', '12', '8'], 'time': [2693, 3487, 4341, 5290, 6223, 7187]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '1', '9', '0', '5', '4', '12', '8'], 'time': [2036, 2291, 3179, 3840, 4061, 4830, 5867, 6863]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '1', '9', '0', '5', '1', '4', '12', '8'], 'time': [2098, 3071, 3838, 3862, 4684, 4731, 5581, 6473, 7571]}, 'edge': {'target': [], 'time': []}}}","[-4, -4, 48]","[6872, 157, 146]",0,0,39,"[None, None, None]","['', -4, -4, 24, 48, 4, -4, -24, 24, -4, -4, 24, 24]",1053507,11087,mouselab-mdp,False
60fd5adad03767cff6dddda8,3,"[11430, 12196, 12852]","['right', 'right', 'down']",begin,"['0', '0', '5', '6', '8']","{'click': {'state': {'target': ['9', '5', '1', '4', '12', '8', '3'], 'time': [2994, 3810, 4569, 5668, 6623, 7518, 8431]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '5', '1', '4', '10', '12', '8', '8', '3', '0'], 'time': [2645, 3552, 4188, 5380, 6086, 6236, 6903, 7234, 8172, 8948]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '9', '5', '1', '4', '10', '12', '8', '8', '3', '0'], 'time': [1724, 3285, 4153, 4995, 5965, 6137, 6899, 6965, 7846, 8880, 8966]}, 'edge': {'target': [], 'time': []}}}","[4, -8, -24]","[9181, 276, 98]",0,0,-30,"[None, None, None]","['', -4, 8, -24, -24, 4, -8, 48, -24, -4, -8, -24, -48]",1068518,14869,mouselab-mdp,False
60fd5adad03767cff6dddda8,4,"[9924, 10532, 11118]","['up', 'up', 'left']",begin,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['1', '9', '5', '12', '8', '3', '4'], 'time': [3778, 4596, 5368, 6130, 6986, 7894, 8646]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '1', '9', '5', '0', '12', '8', '3', '2', '4'], 'time': [2987, 3337, 4223, 4935, 5606, 5689, 6701, 7590, 8162, 8313]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '1', '1', '9', '5', '0', '12', '8', '3', '2', '4', '9'], 'time': [906, 3021, 4165, 4839, 5591, 5623, 6385, 7321, 8158, 8193, 9227, 12165]}, 'edge': {'target': [], 'time': []}}}","[-2, 4, 24]","[8751, 72, 89]",0,0,24,"[None, None, None]","['', -2, 4, -24, 24, -4, -8, 24, -48, -4, -4, -48, -24]",1081279,12610,mouselab-mdp,False
60fd5adad03767cff6dddda8,5,"[10182, 10801, 11517]","['up', 'up', 'left']",begin,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['9', '5', '1', '4', '3', '12', '8'], 'time': [1732, 2422, 3113, 5465, 6832, 7870, 8691]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '0', '5', '1', '4', '2', '3', '10', '12', '8'], 'time': [1462, 2004, 2133, 2737, 3721, 5791, 6139, 7366, 7579, 8411]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '9', '0', '5', '1', '4', '2', '3', '10', '12', '8'], 'time': [1349, 1975, 2039, 2689, 3637, 5770, 5861, 7314, 7393, 8108, 9140]}, 'edge': {'target': [], 'time': []}}}","[2, 4, 48]","[9273, 127, 219]",0,0,52,"[None, None, None]","['', 2, 4, 24, 48, -2, 8, 24, -24, -4, -4, 48, 48]",1094339,12889,mouselab-mdp,False
60fd5adad03767cff6dddda8,6,"[10470, 11186, 11909]","['left', 'left', 'down']",begin,"['0', '0', '9', '10', '12']","{'click': {'state': {'target': ['4', '3', '10', '6', '12'], 'time': [1829, 2811, 4618, 6790, 8913]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '3', '9', '10', '6', '12'], 'time': [1439, 2218, 2492, 3270, 3608, 6017, 8538]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '2', '3', '9', '10', '6'], 'time': [1375, 2217, 2250, 3188, 3320, 5660, 8209]}, 'edge': {'target': [], 'time': []}}}","[2, 8, 48]","[9342, 204, 230]",0,0,58,"[None, None, None]","['', 2, 8, 24, 24, 2, -8, -24, -48, 2, 8, -48, 48]",1109360,14850,mouselab-mdp,False
60fd5adad03767cff6dddda8,7,"[7287, 7981, 8732]","['up', 'up', 'right']",begin,"['0', '0', '1', '2', '3']","{'click': {'state': {'target': ['4', '12', '8', '3'], 'time': [3293, 4269, 5163, 6089]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '9', '4', '9', '12', '8', '3', '0'], 'time': [2433, 2757, 2972, 3661, 3932, 4734, 5851, 6685]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['12', '0', '0', '9', '4', '9', '12', '8', '3', '0'], 'time': [571, 889, 2475, 2791, 3631, 3675, 4691, 5575, 6661, 6700]}, 'edge': {'target': [], 'time': []}}}","[-2, 8, 48]","[6076, 181, 251]",0,0,55,"[None, None, None]","['', -2, 8, 48, -48, 4, -8, 24, 24, 4, 4, -48, -24]",1120342,10748,mouselab-mdp,False
60fd5adad03767cff6dddda8,8,"[7430, 8169, 9429]","['up', 'up', 'right']",begin,"['0', '0', '1', '2', '3']","{'click': {'state': {'target': ['4', '3'], 'time': [5412, 6240]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '4', '2', '3'], 'time': [4957, 5208, 5802, 6041]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '1', '4', '2', '3'], 'time': [3373, 4914, 4990, 5784, 5953, 6798]}, 'edge': {'target': [], 'time': []}}}","[4, -4, 48]","[2940, 223, 780]",0,0,51,"[None, None, None]","['', 4, -4, 48, -48, -4, -4, 48, -48, 4, 4, -48, -24]",1135779,15260,mouselab-mdp,False
60fd5adad03767cff6dddda8,9,"[9690, 10413, 11731]","['up', 'up', 'left']",begin,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['4', '3', '12', '8', '5', '2'], 'time': [1911, 2789, 3667, 5396, 7606, 8423]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '3', '9', '12', '8', '8', '5', '2', '1', '9'], 'time': [1539, 2276, 2484, 3248, 3276, 4041, 5147, 7227, 8066, 8949, 9017]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '2', '3', '9', '12', '8', '8', '5', '2', '1', '9'], 'time': [1494, 2259, 2375, 3201, 3263, 3981, 4061, 5772, 7952, 8940, 8963, 12753]}, 'edge': {'target': [], 'time': []}}}","[2, 4, 24]","[8504, 205, 797]",0,0,29,"[None, None, None]","['', 2, 4, -48, 24, -4, -4, -24, 24, 2, -4, 24, -24]",1149726,13815,mouselab-mdp,False
60fd5adad03767cff6dddda8,10,"[10602, 11221, 12180]","['up', 'up', 'left']",begin,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['4', '1'], 'time': [3973, 9723]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '4', '1', '1', '1'], 'time': [3447, 3748, 7777, 8556, 9409]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '1', '4', '1', '1', '1'], 'time': [2330, 3495, 4547, 8182, 9233, 10135]}, 'edge': {'target': [], 'time': []}}}","[4, -8, 48]","[7913, 113, 443]",0,0,47,"[None, None, None]","['', 4, -8, -48, 48, -2, 8, -48, 48, -2, -4, 24, -48]",1164001,14136,mouselab-mdp,False
60fd5adad03767cff6dddda8,11,"[7155, 8015, 8850]","['left', 'left', 'down']",test,"['0', '0', '9', '10', '12']","{'click': {'state': {'target': ['4', '3', '12'], 'time': [2861, 3789, 4705]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '3', '12'], 'time': [2506, 3608, 4504]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '4', '3', '12'], 'time': [1578, 1634, 3281, 4225, 5100]}, 'edge': {'target': [], 'time': []}}}","[4, -8, 48]","[5047, 272, 340]",0,0,46,"[None, None, None]","['', 4, 4, -24, -48, -4, 4, -48, 24, 4, -8, -48, 48]",1175595,11443,mouselab-mdp,False
60fd5adad03767cff6dddda8,12,"[3997, 4772, 5455]","['left', 'left', 'down']",test,"['0', '0', '9', '10', '12']","{'click': {'state': {'target': ['4', '12'], 'time': [1990, 2824]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '12'], 'time': [1672, 2433]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '12'], 'time': [1622, 2413, 3130]}, 'edge': {'target': [], 'time': []}}}","[2, -4, 48]","[2739, 248, 141]",0,0,49,"[None, None, None]","['', -4, 4, -48, -48, -4, 8, -24, 24, 2, -4, 48, 48]",1185898,10047,mouselab-mdp,False
60fd5adad03767cff6dddda8,13,"[14649, 15457, 16219]","['left', 'left', 'down']",test,"['0', '0', '9', '10', '12']","{'click': {'state': {'target': ['12', '8', '4', '3', '1', '9'], 'time': [2933, 3944, 4766, 5605, 9190, 11376]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '4', '9', '12', '8', '1', '4', '2', '3', '0', '1', '9', '9', '10'], 'time': [1864, 2239, 2356, 2683, 3528, 4324, 4362, 5075, 5141, 7830, 8451, 9640, 10852, 13251]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '4', '9', '12', '8', '1', '4', '2', '3', '0', '1', '9', '9', '9'], 'time': [1885, 2345, 2376, 3411, 4289, 4350, 5064, 5105, 7183, 7915, 9578, 10478, 12178, 13119]}, 'edge': {'target': [], 'time': []}}}","[-2, 8, 24]","[13403, 270, 195]",0,0,29,"[None, None, None]","['', -4, 8, 24, -24, 4, -8, -24, -24, -2, 8, -48, 24]",1203362,17238,mouselab-mdp,False
60fd5adad03767cff6dddda8,14,"[4705, 5314, 5988]","['up', 'up', 'right']",test,"['0', '0', '1', '2', '3']","{'click': {'state': {'target': ['4', '3'], 'time': [2717, 3552]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '3'], 'time': [2500, 3086, 3173]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['10', '9', '4', '2', '3', '0'], 'time': [822, 858, 3067, 3135, 3898, 6919]}, 'edge': {'target': [], 'time': []}}}","[2, 8, 48]","[3113, 100, 140]",0,0,61,"[None, None, None]","['', 2, 8, 48, -48, -2, -4, -24, 24, 4, -4, 48, -48]",1213990,10424,mouselab-mdp,False
