pid,assignment_id,worker_id
0,3HYA4D452SQE7LCMS65KIPKSHLM2FU,A107AUZRFUUR0V
1,35DR22AR5ERKSPZQW0PB76PRS9O3XE,A10JXOU89D5RXR
2,3OE22WJIGJVKIMBXP6QK07JY8I1QUQ,A10K340IGBSJX1
3,3ATPCQ38J9H9CFOLABQNDSA6ZJEAYE,A10PUM2S12CAW
4,3H7XDTSHKDY6X16OHA09OH0TM6OWGA,A110ICG2VQUGXS
5,3137ONMDKHCCG1KXWA632BTTG7MEGQ,A11EL5LWS2L1HX
6,3VA45EW49OU1OD7J85OW00J1HF71O4,A11LL3J3YSXB4U
7,37WLF8U1WQXD58N1GJ8KOFT95MA6KM,A12HWPFXQPITHD
8,37WLF8U1WQXD58N1GJ8KOFT95LEK62,A12QJ0TTH77O6P
9,3L2IS5HSFBPZFPY59EY3WDOT23NUN7,A13LSYZUMFHXUX
10,3Z7ISHFUH12VYH5B9Z8SV8DDFQ78ZQ,A13O647FD24R4V
11,3N1FSUEFL67RCFDD5ETIN4E5PLA4DN,A13OHDWN9XSCIG
12,3F0BG9B9MQURTDQN38E3318GYCU7Y8,A13U5OK3GJ10KC
13,3T111IHZ5FXMAV2U4AKT916PRJIR9Q,A14WLAP6TCEKO0
14,3SKEMFQBZ4C09M6P9Y5I8TP0BG6K8Q,A15ED7YTWROCDJ
15,3KYQYYSHYWEVG8NVOY8R12KA6CADO6,A15K0L6NGQXOM0
16,3S96KQ6I9NBBT0S3KFUQVCQX5KQTD7,A15SUPIZ05ZFCD
17,378XPAWRUDKNMF9G6T4KR4GI90LAID,A15WCNO32MHBAF
18,3ATPCQ38J9H9CFOLABQNDSA6ZJNAYN,A15X0MSBZ74TFT
19,3S4AW7T80CPAAR15IVR66HMAYUH4L8,A15XIKX3PI7SLK
20,3QUO65DNQVVHXAYHATYGB2OYTHFOUC,A17FDM5CXENC1O
21,3V26SBZTBELAID6YIP858SAHEYMZZS,A17OSPGV41FZ7P
22,32EYX73OY1GKUNQX2LFK5XT344XURP,A17TKHT8FEVH0R
23,3ZPPDN2SLW3X1RXPI40TAU76CURE9Z,A17WS5TP6OPH7R
24,3WQQ9FUS6B1ZGJ2V3LSP9Q6AOM78B4,A187TVQ98O0FN2
25,3NPI0JQDAPCKIXVTPOLLV67MK8YPTX,A18QU0YQB6Q8DF
26,3300DTYQT3O3TQEBZ6BFWPXVLPTQEK,A19QK6E0OXZ5R6
27,3I02618YA1DZIAAIPTBV02TO2H1UPE,A1AF25FCVKC87X
28,3KXIR214I5N495FX8P91RLN1SUL42E,A1AMGHYG5PT0L2
29,3G5W44VEU8PF21C7SWH6066YZZJGK2,A1AYWUSULABAXL
30,3MH9DQ757XJT5XHJMAL86TFW1QDUG9,A1AZV2XOQK7RSW
31,3NG53N1RLWQ1KD35MQAQ4ABZ5QF8PI,A1BDJJ3Z71CDKL
32,3ZOTGHDK5JI1IX6DLO3GW16A7FJOSA,A1BIENE9M8DX6H
33,3F0BG9B9MQURTDQN38E3318GYB9Y7C,A1BOOCWOWB9LBJ
34,3L0KT67Y8FNDCBAFRBCEYS4CMULSY3,A1DBVSPGQDWD9K
35,38BQUHLA9X7YK2T81R7UKS74GV9MOF,A1DDBGQDMZZ1VW
36,3OONKJ5DKDQ21BPBA2HL6CWA3SSBOT,A1DEFJFW0PWW8B
37,31JLPPHS2V1XYGLYV92FOTYYG52O3D,A1E77HZO63E334
38,3W2LOLRXLCM6RRLL87BIZAK518RKRZ,A1E8PIR82KIJEP
39,3WI0P0II62ZYDLFBGQPVVXPFHZXRDW,A1ETEW9WH37WDS
40,3GD6L00D3T4DOAM7VP9J8WUWMFRM19,A1FYMTQ3YSEOQ9
41,34YB12FSQZVASPCAD8UMFJY2O4BGM4,A1G34TESSXG1R8
42,3XXU1SWE8N2CFKS023FEL0GMN7NA03,A1GWH4HQXHG02L
43,3HMVI3QICKZDIRBLESXU2RH3VP71YG,A1GWYE8PRWT13G
44,3B837J3LDP34FAYTDGKKQWBFI24SRO,A1H2DOSN5SFN7A
45,3JMSRU9HQJ1VYYASL55P2CW32HBVEM,A1H5Q9HRH4RPZU
46,3GU1KF0O4J8KMB1CP2U0VC10DW1PBZ,A1HCAU0WHWDO7A
47,3X4MXAO0BHVXMRF2XLULNLE0OFZWR6,A1ILOQZ922TXTW
48,3WMINLGALCAW9CNGEJ8YG1INWV2CAE,A1JKSAQ8UNCE7B
49,3CFJTT4SXUX53DBIZQS0HDES8SL7IP,A1JQZYK194B1HZ
50,3GNA64GUZFB3X7LIO5ICSVRI91AQ5A,A1KAIOBTXQ77A6
51,3BC8WZX3V43SEVYGYRKF0M6JW0RRR5,A1KCC93NOV6TH2
52,3K3R2QNK8CAEQNUB84FYECT9XDQ9U5,A1KHRQ121JTDF6
53,3I2PTA7R3U16FQ6LVSMIUKA06RRQKH,A1L3937MY09J3I
54,3H7XDTSHKDY6X16OHA09OH0TM6OWGA,A1LHSOH23WKNJI
55,3EJJQNKU9SCFP1KD2M8LMI4DAWWRHM,A1LSGYXKP6O1B8
56,384PI804XT8GFGEUJ31560AS9CB0S4,A1LTOL7M4TTLSN
57,3P59JYT76MROQQUNNQA9ZTZT8T92TF,A1MIB492BU9KIQ
58,3YMTUJH0DTNYT49AR4TXS8WRTC0T48,A1MQ9B05ZMM4YI
59,3WLEIWSYHPOYLH3SNWTKLAW5XZAH2G,A1N3I0V32IPHC9
60,3GDTJDAPVVIVZA6SUAIYN6H40LZ8MH,A1N53V41FMCR7Q
61,3LPW2N6LKU9VP0SZ5E2H2WO7CKXU5W,A1N7O7E8HC03D8
62,3TU5ZICBRE8MKP4KM3PF4F19AMZQ8P,A1NAWLZ2HOJZPB
63,3V0Z7YWSIZ733IYCSLAO0BNE5EKV2J,A1NGG9MJ39HX5L
64,386CSBG1O0TZGBLWTOSHK15I5W86QT,A1NR3COO33J99C
65,3IXEICO793QC8RDOASMCP6G5OY4T6G,A1NT8BT94ME6F5
66,3V0Z7YWSIZ733IYCSLAO0BNE5F9V2A,A1OPXJUSHW6DSN
67,3VBEN272ML6DQKPFX5Q8RSX8HY5GS3,A1P3J34DH57JNB
68,3Z4GS9HPNWH8ETUMGZO3QOOJVHG77B,A1P8M5BKOTAA8I
69,37W3JXSD67F6JSROBGMFVH7XR2FWY9,A1P9376YFWN4MF
70,379J5II41PNS2TYY713JF3Y1CO8ELW,A1PMZUBGXFANCI
71,3300DTYQT3O3TQEBZ6BFWPXVLP3EQI,A1PZG6C6W9J2JB
72,3SITXWYCNWGPVK33BT4HPPN3FV2XBN,A1Q93PSB62TXO9
73,3MYYFCXHJ4EUOZN474UQTPH22DY4G5,A1QBWI26CXCCSS
74,3F6KKYWMNC8DYNNJNJ8EMDK5G28DNU,A1QEQ64E22TNUZ
75,3K9FOBBF2IQWWZBB00625QSAPB7LNF,A1QO37IHT7ZQBT
76,3R0T90IZ1TJXJ30J0J08CNTQUQ8GCN,A1QRXIMSBSK6YR
77,3URFVVM166PTWECOC29XR0V2DLFUZH,A1QYGPU1NDUMWW
78,3AMYWKA6YCTWVZ8GEB0DVWAIPQO6O8,A1RAMKQ7DTZSY9
79,3RWE2M8QWIHJZ3MPB7KJ760MMDYN0A,A1RRQJZ9KXPBQZ
80,3CFVK00FWMSOPE5J1JKL3F6OULIL65,A1RUWT5GO2WKEC
81,3U0SRXB7CEC7ZX6O5K3YR219V3VRNA,A1S93WZMG3DW9Y
82,3UXUOQ9OKF4QXVSKN20N0FQ9VKK7AP,A1SBABWNNZNJH1
83,3Q5ZZ9ZEVPMXR3LM2B1C646IEQE85W,A1SD3O0726NFPZ
84,3NJM2BJS4XD3WGTI32QV6W7IVH1PC6,A1SMYB7YESWB29
85,3TU5ZICBRE8MKP4KM3PF4F19AMV8Q3,A1SUB4VLQOLWDX
86,3Q8GYXHFEQ9Z36BZJNHH8Q215MYC5G,A1T208Y507O4RS
