,pid,condition,with_reward,with_info,with_feedback
0,0,2,True,True,True
1,1,2,True,True,True
2,2,2,True,True,True
3,3,3,True,False,True
4,4,3,True,False,True
5,5,2,True,True,True
6,6,1,False,False,False
7,7,3,True,False,True
8,8,0,False,True,True
9,9,1,False,False,False
10,10,1,False,False,False
11,11,3,True,False,True
12,12,3,True,False,True
13,13,2,True,True,True
14,14,3,True,False,True
15,15,3,True,False,True
16,16,2,True,True,True
17,17,3,True,False,True
18,18,2,True,True,True
19,19,0,False,True,True
20,20,0,False,True,True
21,21,0,False,True,True
22,22,1,False,False,False
23,23,2,True,True,True
24,24,2,True,True,True
25,25,0,False,True,True
26,26,0,False,True,True
27,27,1,False,False,False
28,28,0,False,True,True
29,29,2,True,True,True
30,30,0,False,True,True
31,31,2,True,True,True
32,32,2,True,True,True
33,33,3,True,False,True
34,34,1,False,False,False
35,35,1,False,False,False
36,36,3,True,False,True
37,37,3,True,False,True
38,38,1,False,False,False
39,39,2,True,True,True
40,40,3,True,False,True
41,41,3,True,False,True
42,42,3,True,False,True
43,43,3,True,False,True
44,44,0,False,True,True
45,45,0,False,True,True
46,46,0,False,True,True
47,47,3,True,False,True
48,48,2,True,True,True
49,49,3,True,False,True
50,50,0,False,True,True
51,51,1,False,False,False
52,52,1,False,False,False
53,53,3,True,False,True
54,54,0,False,True,True
55,55,3,True,False,True
56,56,1,False,False,False
57,57,0,False,True,True
58,58,2,True,True,True
59,59,2,True,True,True
60,60,1,False,False,False
61,61,2,True,True,True
62,62,0,False,True,True
63,63,2,True,True,True
64,64,1,False,False,False
65,65,2,True,True,True
66,66,2,True,True,True
67,67,3,True,False,True
68,68,2,True,True,True
69,69,2,True,True,True
70,70,1,False,False,False
71,71,3,True,False,True
72,72,0,False,True,True
73,73,0,False,True,True
74,74,1,False,False,False
75,75,3,True,False,True
76,76,0,False,True,True
77,77,2,True,True,True
78,78,0,False,True,True
79,79,3,True,False,True
80,80,1,False,False,False
81,81,0,False,True,True
82,82,2,True,True,True
83,83,3,True,False,True
84,84,1,False,False,False
85,85,1,False,False,False
86,86,2,True,True,True
87,87,2,True,True,True
88,88,1,False,False,False
89,89,2,True,True,True
90,90,1,False,False,False
91,91,2,True,True,True
92,92,3,True,False,True
93,93,1,False,False,False
94,94,3,True,False,True
95,95,3,True,False,True
96,96,0,False,True,True
97,97,0,False,True,True
98,98,3,True,False,True
99,99,0,False,True,True
100,100,2,True,True,True
101,101,1,False,False,False
102,102,1,False,False,False
103,103,2,True,True,True
104,104,3,True,False,True
105,105,0,False,True,True
106,106,1,False,False,False
107,107,0,False,True,True
108,108,1,False,False,False
109,109,2,True,True,True
110,110,2,True,True,True
111,111,2,True,True,True
112,112,0,False,True,True
113,113,3,True,False,True
114,114,2,True,True,True
115,115,2,True,True,True
116,116,0,False,True,True
117,117,1,False,False,False
118,118,1,False,False,False
119,119,3,True,False,True
120,120,0,False,True,True
121,121,2,True,True,True
122,122,0,False,True,True
123,123,1,False,False,False
124,124,3,True,False,True
125,125,0,False,True,True
126,126,1,False,False,False
127,127,3,True,False,True
128,128,2,True,True,True
129,129,0,False,True,True
130,130,2,True,True,True
131,131,0,False,True,True
132,132,0,False,True,True
133,133,3,True,False,True
