pid,trial_index,action_time,actions,block,path,queries,reward,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trialTime,trial_type
0,0,"[4512, 6790, 8938]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '1'], 'time': [1421, 2869]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '1'], 'time': [1487, 3605]}, 'edge': {'target': [], 'time': []}}}","[34, 6, 6]","[44670.199999999255, 17380.5, 4499]",1,0,46,"[None, None, None]","['', 34, -11, 3, -3, 34, 11, -6, 3, 34, 6, -3, 6]",44683,[],mouselab-mdp
0,1,"[2590, 3855, 5027]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '9', '10'], 'time': [None, 532, 910]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '9', '10'], 'time': [490, 566, 948]}, 'edge': {'target': [], 'time': []}}}","[34, 6, 6]","[1754.7000000011176, 1609, 2580.0999999996275]",1,[],46,"[None, None, None]","['', 34, 6, 6, -3, 67, 6, 6, 3, -34, 6, -3, -6]",62082,[],mouselab-mdp
0,2,"[1415, 3410, 5921]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['10', '9'], 'time': [233, 289]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['10', '9'], 'time': [267, 312]}, 'edge': {'target': [], 'time': []}}}","[34, -11, -6]","[731.7999999988824, 634.1000000014901, 1407.0999999996275]",1,[],17,"[None, None, None]","['', 34, -11, -6, -3, 34, 11, 3, 6, -67, 6, 6, -6]",73715,[],mouselab-mdp
0,3,"[1707, 2688, 3799]","['right', 'right', 'up']",training,"['0', '5', '6', '7']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[67, -6, 3]","[1456.2999999988824, 1970.6000000014901, 1691.300000000745]",1,[],64,"[None, None, None]","['', -34, 6, 3, 3, 67, -6, 3, -3, 34, 6, 3, 3]",81121,[],mouselab-mdp
0,4,"[775, 1728, 2551]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[67, -11, 6]","[438.69999999925494, 582.4000000003725, 765.2999999988824]",1,[],62,"[None, None, None]","['', -34, -6, -3, -6, 67, -11, -3, 6, -67, 6, 6, 3]",89225,[],mouselab-mdp
0,5,"[498, 1582, 2786]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[-67, 6, -3]","[411.59999999962747, 267.59999999962747, 491]",1,[],-64,"[None, None, None]","['', -67, -6, 3, 6, -67, -6, -6, -6, -67, 6, -3, -6]",95350,[],mouselab-mdp
0,6,"[4895, 7962, 13620]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': ['5', '1', '9'], 'time': [1231, 2057, 2849]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '5', '1', '9'], 'time': [604, 868, 1652, 2419]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '5', '1', '9', '9', '10', '10', '11', '10', '10', '11'], 'time': [655, 1604, 2333, 3095, 6603, 7234, 8855, 11012, 11178, 11581, 13090]}, 'edge': {'target': [], 'time': []}}}","[67, 6, 6]","[554.1999999992549, 670.9000000003725, 4885.89999999851]",1,[],76,"[None, None, None]","['', 67, 6, 3, 3, -34, -11, 6, 6, 67, 6, 6, 6]",99655,[],mouselab-mdp
0,7,"[16927, 19740, 20343]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['1', '9', '5', '2', '10', '6', '3', '4'], 'time': [1494, 2636, 3791, 7686, 9049, 10092, 12656, 13660]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '9', '6', '5', '10', '2', '10', '6', '3', '4', '11'], 'time': [776, 2061, 3211, 3512, 4820, 7120, 8559, 9525, 12218, 13258, 14619]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '9', '6', '5', '10', '2', '10', '9', '6', '6', '5', '3', '4', '11', '12'], 'time': [1950, 3130, 3448, 4492, 4919, 8167, 9439, 9481, 10499, 11035, 11916, 13025, 14051, 18272, 19237]}, 'edge': {'target': [], 'time': []}}}","[34, 11, 3]","[2521.5, 5122.299999998882, 16919.199999999255]",1,[],40,"[None, None, None]","['', -67, 6, 3, 6, -67, -11, 6, -3, 34, 11, 3, 3]",104259,[],mouselab-mdp
0,8,"[23045, 26962, 27752]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': ['9', '1', '5', '6', '2', '10', '11', '12', '4', '3', '7', '8'], 'time': [1853, 2866, 3737, 7907, 8860, 10184, 11040, 11822, 14088, 14834, 15596, 16400]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['10', '9', '1', '5', '10', '4', '4', '2', '7', '6', '2', '10', '11', '12', '4', '3', '7', '8'], 'time': [1172, 1439, 2453, 3256, 4837, 5318, 5905, 6635, 7489, 7547, 8547, 9651, 10534, 11381, 13732, 14484, 15165, 15911]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['10', '9', '1', '5', '9', '10', '4', '4', '2', '1', '7', '6', '2', '10', '11', '12', '11', '4', '3', '7', '6', '8', '8'], 'time': [1246, 2259, 3183, 4390, 4473, 5264, 5371, 6518, 6691, 7197, 7541, 8140, 9313, 10485, 11290, 11999, 13127, 14425, 15124, 15779, 15848, 16854, 29128]}, 'edge': {'target': [], 'time': []}}}","[34, -6, 3]","[2272.5999999996275, 83.59999999962747, 23038.299999998882]",1,[],19,"[None, None, None]","['', -67, 6, 3, -6, -67, 6, 3, 3, 34, -6, 3, 3]",121830,[],mouselab-mdp
0,9,"[18230, 19005, 19612]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['5', '1', '9', '10', '2', '6', '8', '7', '11', '12', '4', '3'], 'time': [1681, 2563, 3388, 5718, 6916, 8269, 9186, 10524, 14553, 15350, 16524, 17311]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '1', '9', '6', '10', '2', '3', '7', '6', '6', '8', '7', '7', '7', '11', '12', '4', '3'], 'time': [1362, 2097, 2962, 4672, 5357, 6164, 7251, 7461, 7562, 7931, 8860, 9796, 9911, 10242, 14291, 15005, 16073, 16837]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '1', '9', '6', '9', '10', '2', '3', '7', '6', '6', '8', '6', '7', '7', '7', '11', '10', '12', '4', '3'], 'time': [1951, 2864, 3925, 4842, 5301, 6098, 7209, 7299, 7504, 7644, 8793, 9694, 9754, 9839, 9962, 10742, 14739, 14822, 15802, 16765, 17507]}, 'edge': {'target': [], 'time': []}}}","[67, 11, -6]","[3393.60000000149, 254.09999999962747, 18222.699999999255]",1,[],60,"[None, None, None]","['', -67, 6, 6, 3, 67, 11, -6, -6, -34, 11, -6, -6]",144055,[],mouselab-mdp
