pid,trial_index,action_time,actions,block,path,queries,reward,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trialTime,trial_type
0,0,"[10291, 11871, 14416]","['up', 'up', 'left']",training,"['0', '1', '2', '4']","{'click': {'state': {'target': ['5'], 'time': [3821]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['8', '5', '1'], 'time': [2578, 3582, 5534]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['8', '5', '5'], 'time': [2632, 4264, 5317]}, 'edge': {'target': [], 'time': []}}}","[-20, 50, -50]","[112366.19999998808, 32095.29999999702, 10288.20000000298]",0,0,-21,"[None, None, None]","['', -20, 50, 100, -50, -1000, -50, 100, -50, -50, 100, 50, 100]",112462,[],mouselab-mdp
0,1,"[1310, 4318, 6873]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1'], 'time': [None]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[100, -50, 50]","[1078.7000000029802, 2036.5, 1308.6000000089407]",0,5,100,"[None, None, None]","['', -50, 50, -50, -50, -50, 50, 50, -50, 100, -50, 50, -50]",144562,[],mouselab-mdp
0,2,"[20948, 21636, 22404]","['right', 'right', 'up']",training,"['0', '5', '6', '7']","{'click': {'state': {'target': ['1', '4', '2', '5', '6', '8', '7', '9', '10', '11', '12'], 'time': [3646, 6088, 7042, 9144, 9940, 10559, 11600, 14061, 15207, 15998, 16956]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '2', '4', '2', '0', '5', '6', '6', '5', '6', '8', '7', '11', '9', '10', '10', '11', '12'], 'time': [None, 5544, 5893, 6962, 8013, 8130, 8430, 8881, 8998, 9815, 10363, 11501, 13536, 13936, 14670, 15101, 15721, 16505]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '2', '4', '2', '1', '0', '5', '6', '6', '5', '6', '8', '6', '7', '11', '9', '10', '10', '11', '10', '12'], 'time': [5444, 5845, 6713, 7364, 7947, 8028, 8380, 8497, 8981, 9415, 10249, 11100, 11333, 13103, 13719, 14636, 14718, 15621, 16419, 16470, 17273]}, 'edge': {'target': [], 'time': []}}}","[50, -50, 50]","[2509.2999999970198, 2018.5999999940395, 20946.39999999106]",0,[],39,"[None, None, None]","['', 50, -50, -20, -50, 50, -50, 50, -20, -50, -1000, -50, 50]",162081,[],mouselab-mdp
0,3,"[3940, 5122, 6980]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[-50, 50, -20]","[193.5, 274.29999999701977, 3938.3999999910593]",0,[],-20,"[None, None, None]","['', -50, 50, -20, -20, 50, 50, -50, 50, 50, -50, -50, -50]",171403,[],mouselab-mdp
0,4,"[926, 2110, 12271]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[-50, -50, -50]","[682.2999999970198, 1355.9000000059605, 924.0999999940395]",0,[],-150,"[None, None, None]","['', 100, -50, 50, -20, 50, 100, 100, -50, -50, -50, -50, -50]",195883,[],mouselab-mdp
0,5,"[6030, 6764, 7531]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['5', '6', '7', '8'], 'time': [2496, 3405, 4114, 5042]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '6', '7', '8'], 'time': [2387, 3391, 3891, 5038]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '6', '7', '6', '8'], 'time': [3174, 3824, 4575, 4842, 5326]}, 'edge': {'target': [], 'time': []}}}","[50, 100, 100]","[681.7999999970198, 9658.10000000894, 6028.29999999702]",0,[],246,"[None, None, None]","['', -20, 50, -50, -50, 50, 100, -50, 100, 50, 100, 50, -50]",205995,[],mouselab-mdp
0,6,"[4461, 5165, 6205]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': ['1', '2', '4', '3'], 'time': [1325, 1964, 2630, 3391]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['6', '1', '2', '4', '3', '7'], 'time': [931, 1215, 1800, 2535, 3052, 3885]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['6', '1', '2', '4', '2', '3', '7'], 'time': [984, 1735, 2318, 2952, 3001, 3868, 3903]}, 'edge': {'target': [], 'time': []}}}","[50, 50, 50]","[193.20000000298023, 276.29999999701977, 4460.20000000298]",0,[],146,"[None, None, None]","['', 50, 50, 50, -1000, -20, 50, -50, 50, -1000, -1000, -1000, -50]",220716,[],mouselab-mdp
0,7,"[6523, 7290, 8043]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': ['9', '10', '11', '12'], 'time': [2168, 2776, 3383, 3900]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['8', '0', '9', '10', '11', '12', '0', '0', '1'], 'time': [1778, 1843, 1895, 2561, 3194, 3711, 5212, 5346, 5548]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['8', '0', '9', '10', '11', '10', '12', '0', '0', '1', '5'], 'time': [1792, 1861, 2496, 3112, 3563, 3663, 4097, 5263, 5381, 6097, 9519]}, 'edge': {'target': [], 'time': []}}}","[100, -20, 100]","[206.8999999910593, 549.4000000059605, 6522]",0,[],176,"[None, None, None]","['', -20, 100, 50, -50, 100, -50, -50, 50, 100, -20, 100, -1000]",230104,[],mouselab-mdp
0,8,"[27532, 28296, 29065]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['1', '2', '4', '3', '9', '10', '11', '12', '5', '6', '7', '8'], 'time': [1723, 2334, 3051, 3639, 9358, 21774, 22303, 23322, 24358, 24936, 25613, 26252]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['8', '5', '1', '2', '4', '4', '3', '7', '9', '5', '6', '11', '10', '11', '12', '5', '6', '7', '8'], 'time': [1070, 1284, 1552, 2152, 2671, 2820, 3355, 3887, 9281, 9945, 9963, 21423, 21624, 22141, 22922, 24243, 24743, 25527, 26043]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['8', '5', '1', '2', '4', '4', '2', '3', '7', '9', '9', '5', '6', '9', '11', '10', '11', '10', '12', '5', '6', '7', '6', '8'], 'time': [1103, 1320, 2104, 2638, 2702, 3255, 3322, 3822, 3903, 9762, 9911, 9962, 9976, 21139, 21590, 22088, 22506, 22689, 23727, 24676, 25275, 25879, 25975, 26478]}, 'edge': {'target': [], 'time': []}}}","[-20, 100, 100]","[274.20000000298023, 260.69999998807907, 27529.29999999702]",0,[],168,"[None, None, None]","['', 50, -20, -20, -50, -20, 100, -50, 100, 50, -20, -50, 50]",238199,[],mouselab-mdp
0,9,"[16207, 17438, 18350]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['9', '10', '11', '12', '1', '2', '4', '3', '5', '6', '7', '8'], 'time': [2187, 2861, 3368, 3978, 4896, 5347, 5778, 6275, 10262, 11015, 11537, 12044]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '0', '9', '10', '11', '12', '5', '1', '2', '4', '3', '7', '6', '5', '6', '7', '8'], 'time': [1605, 1870, 2104, 2652, 3186, 3822, 4523, 4639, 5173, 5522, 6024, 6992, 9889, 10040, 10723, 11388, 11841]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '0', '9', '10', '11', '10', '12', '5', '1', '2', '4', '2', '3', '7', '6', '5', '6', '7', '6', '8'], 'time': [1620, 1887, 2605, 3138, 3589, 3706, 4221, 4554, 5090, 5505, 5939, 5992, 6875, 7006, 9954, 10571, 11324, 11672, 11807, 12206]}, 'edge': {'target': [], 'time': []}}}","[50, 50, -50]","[262.29999999701977, 264.09999999403954, 16160.79999999702]",0,[],38,"[None, None, None]","['', 50, -1000, 100, 50, -50, 50, -50, -1000, 50, 50, -50, -50]",248615,[],mouselab-mdp
