pid,workerid,status,beginexp,condition,pid,bonus
0,ARJQXZYCNP6XL,3,2021-07-21 18:21:58.660246,1,0,0.0
1,A3M3JJT2XF4O54,3,2021-07-21 18:02:35.399745,0,1,0.0
2,APGLKOY7JCTOV,3,2021-07-21 17:55:01.58982,2,2,0.52
3,AILWN67BPXPDM,3,2021-07-21 17:49:53.577493,1,3,2.5
4,A1I4NLUKLPC0SA,3,2021-07-21 17:37:28.101487,2,4,3.08
5,AOHCSIN8IW046,3,2021-07-21 17:34:09.680373,0,5,2.91
6,A3B01L2TR8ZH4O,3,2021-07-21 17:26:27.052278,2,6,2.84
7,A1LJGHG6RYGLMB,3,2021-07-21 17:20:29.414591,1,7,0.19
8,A3RNGN5WLE1OBU,3,2021-07-21 17:08:41.444666,0,8,0.0
9,A1M9X8OKJ4U27Y,3,2021-07-21 17:08:23.869302,0,9,2.35
10,A24DNRJQG67O8K,3,2021-07-21 17:06:22.678542,2,10,2.64
11,A2FRD8U3DU923Q,3,2021-07-21 17:06:07.541136,1,11,2.36
12,AAZAJDRFBDUSW,3,2021-07-21 16:59:20.688806,0,12,2.58
13,A94UL1QPH84CW,3,2021-07-21 16:58:55.875002,2,13,0.54
14,A35BDRQ915O6VO,3,2021-07-21 16:58:32.462941,1,14,2.57
15,A3Q47FRKW974D4,3,2021-07-21 16:58:28.589346,0,15,2.62
16,A2GSJLX3J6TMDH,3,2021-07-21 16:58:09.040973,1,16,2.43
17,A2E9M97EHQ8KS3,3,2021-07-21 16:58:01.63107,2,17,2.44
18,A18X55GJB6VBQ0,3,2021-07-21 16:58:48.302863,1,18,2.41
19,A2N22PD7SFRSNF,3,2021-07-21 16:56:43.820357,0,19,0.16
20,A1QNC08T9AJTNL,3,2021-07-21 16:56:42.078555,1,20,2.95
21,AJYIVPPWJK1Y8,3,2021-07-21 16:55:48.016488,2,21,2.5
22,A3GJ2E1A1H5DM7,3,2021-07-21 16:53:50.965391,0,22,1.06
23,A6EZB0N12JX39,3,2021-07-21 16:43:20.371602,1,23,3.13
24,ALBIU0ZCAUNON,3,2021-07-21 16:30:33.486542,0,24,0.0
25,A28UAUE1B1GY34,3,2021-07-21 16:11:14.158464,0,25,2.78
26,AKOEY61955E8X,3,2021-07-21 16:08:55.878847,2,26,3.24
27,A19H6QRCGKBOUH,3,2021-07-21 16:08:21.698605,1,27,2.24
28,AHW3B8ZK1LW0L,3,2021-07-21 16:08:22.710721,2,28,2.34
29,ATIVK9XUANIUE,3,2021-07-21 16:06:54.846337,0,29,2.76
30,AI112XC19VXK7,3,2021-07-21 16:09:33.806651,1,30,2.13
31,A329WHNJKAKTW7,3,2021-07-21 16:06:38.317352,0,31,2.85
32,AQNZORQPWVOKO,3,2021-07-21 16:08:14.722666,2,32,1.48
33,A68J20100VW4W,3,2021-07-21 16:05:07.860141,1,33,2.68
34,A2X9784RXW7SFZ,3,2021-07-21 16:04:16.337094,2,34,1.45
35,A2IZAD6SRVCPRY,3,2021-07-21 16:05:09.828139,0,35,2.56
36,A1FAA222XZ51I5,3,2021-07-21 16:03:28.000888,1,36,2.79
37,A3ETH071QMLQCY,3,2021-07-21 16:03:21.263883,2,37,2.72
38,A1X6N7VH0PP69T,3,2021-07-21 16:03:00.179575,1,38,0.0
39,A2ELXYKRPPGRPB,3,2021-07-21 16:02:47.802139,0,39,1.77
40,A2PJ1XAIGPIGJU,3,2021-07-21 16:02:40.969341,2,40,2.71
41,A2AVN8KB7E7C0S,3,2021-07-21 16:02:34.171921,1,41,2.72
42,AK5O0ERUC7TAY,3,2021-07-21 16:02:27.610085,2,42,1.05
43,A1UQ4MC5J2WIY8,3,2021-07-21 16:09:36.214683,0,43,0.23
44,AA87I4LIAG09P,3,2021-07-21 16:02:10.327879,0,44,3.07
