pid,workerid,status,beginexp,condition,pid,bonus
0,A25X755IRWK2U5,3,2021-07-21 19:23:25.037126,0,0,5.0
1,A29CR7XAVHZI5E,3,2021-07-21 19:00:46.998206,0,1,5.0
2,A2UKUJUHR1VLBI,3,2021-07-21 18:39:40.635372,3,2,0.01
3,A3JPTLJNNUWTVI,3,2021-07-21 18:26:48.382674,3,3,0.26
4,A8GT8ZT5D5YCB,3,2021-07-21 18:00:09.089325,2,4,0.0
5,AB32A16WBEV84,3,2021-07-21 18:01:21.44919,2,5,5.0
6,A3G9I6N1DPYMTU,3,2021-07-21 17:57:36.638922,2,6,0.0
7,A2UK7ZSMKF1LDB,3,2021-07-21 17:41:04.68022,2,7,5.0
8,AONSG5WOC3OX0,3,2021-07-21 17:44:42.887405,1,8,0.0
9,A16F0IRSJ5M3K1,3,2021-07-21 17:28:28.609019,0,9,0.0
10,ABZ3S434TWMZ6,3,2021-07-21 17:21:08.35488,1,10,0.0
11,A39YJ5IY2ZHAUS,3,2021-07-21 17:17:53.44716,0,11,5.0
12,A1FKY50UGDT5E7,3,2021-07-21 17:13:36.826997,3,12,0.05
13,A29D20H4XWDRMH,3,2021-07-21 17:12:50.660921,1,13,0.0
14,A219UA97DGVB5A,3,2021-07-21 17:06:40.632684,1,14,0.0
15,A2SXOQZNH7UCC5,3,2021-07-21 17:03:03.970294,3,15,0.26
16,A2LMOLM5WPUSGL,3,2021-07-21 17:03:39.982519,1,16,0.0
17,A3IZMPMBGIEGVP,3,2021-07-21 17:04:39.36035,0,17,5.0
18,A3A1CT9V8SCUSR,3,2021-07-21 17:07:49.748558,3,18,0.14
19,APVJEN2541WFB,3,2021-07-21 16:56:10.005747,1,19,0.0
20,A1L8M9HBRG9N5R,3,2021-07-21 16:53:54.951471,0,20,5.0
21,A35KMIQZ4375TQ,3,2021-07-21 16:52:21.034002,2,21,0.0
22,A2YW50PK6JKU1R,3,2021-07-21 16:45:21.143947,3,22,0.0
23,A2J19EIW5MDXE9,3,2021-07-21 16:40:05.776499,2,23,0.0
24,A2EAJ7834XI2IT,3,2021-07-21 16:39:44.435058,1,24,0.0
25,ASOJJIEKAQLG,3,2021-07-21 16:37:30.60023,2,25,4.53
26,AXFB4XBUKNE07,3,2021-07-21 16:34:39.902616,3,26,0.1
27,A24LWGRA11U6CX,3,2021-07-21 16:33:39.918224,0,27,5.0
28,A3T1KRG2ENHASZ,3,2021-07-21 16:32:58.71634,1,28,0.0
29,AB3OPJYBXVDUB,3,2021-07-21 16:27:26.97723,2,29,0.0
30,AOD1CHX025RX6,3,2021-07-21 16:26:30.454622,3,30,0.0
31,A3Q7I9RK9P1DE3,3,2021-07-21 16:24:07.534042,0,31,0.0
32,AI6U09NVOZ62B,3,2021-07-21 16:22:08.1556,2,32,0.0
33,A3519ODZP5B8C7,3,2021-07-21 16:25:27.040874,0,33,5.0
34,A3370W1NV88H5Z,3,2021-07-21 16:20:43.347111,3,34,0.06
35,A2S8Z6267K3682,3,2021-07-21 16:19:05.390776,2,35,5.0
36,APKJJH5BM2VY,3,2021-07-21 16:18:08.54212,3,36,0.05
37,A18366ZPVL8FNG,3,2021-07-21 16:16:10.358535,1,37,0.0
38,A3PBSBZ0X1O5OR,3,2021-07-21 16:17:24.241761,2,38,5.0
39,A2VWK6VBQ0GQKL,3,2021-07-21 16:18:51.098349,1,39,0.0
40,A3GMBI9F8IKWNA,3,2021-07-21 16:15:18.311664,0,40,5.0
41,AGC1N8XA7OBQY,3,2021-07-21 16:14:50.433556,3,41,0.23
42,A1DV2NN63NY9KW,3,2021-07-21 16:14:44.801719,0,42,5.0
43,A1VCGIWWZWM8GD,3,2021-07-21 16:12:38.350574,1,43,0.0
44,AVYQAKDYISJUL,3,2021-07-21 16:13:43.080988,3,44,0.14
45,A2BTN4YKL38SA4,3,2021-07-21 16:08:53.079962,1,45,0.0
46,A1I7URHRM80OJ9,3,2021-07-21 16:08:50.407573,2,46,0.0
47,A1O038FZWC8391,3,2021-07-21 16:13:10.068789,3,47,0.15
48,A1QYZQ13CMITE7,3,2021-07-21 16:07:17.546296,1,48,0.0
49,A2DZXX1XP0KT3Q,3,2021-07-21 16:08:37.769609,0,49,2.25
50,A2H1O5NQJOHYFT,3,2021-07-21 16:09:44.77703,3,50,0.2
51,AKU3JH19XPWG7,3,2021-07-21 16:05:08.412641,0,51,0.0
52,A1B1X7P26ZYP7G,3,2021-07-21 16:02:10.473733,0,52,5.0
53,A2OZ0B2U7MCLD1,3,2021-07-21 16:01:58.120589,1,53,0.06
54,AWQ356DRNMY8Z,3,2021-07-21 16:04:43.600674,2,54,0.0
55,AD1XKXY2KMEQ4,3,2021-07-21 16:01:31.473722,1,55,0.0
56,A1QG4N21BF61PC,3,2021-07-21 16:01:19.023444,3,56,0.09
57,A3686GG56DXS8W,3,2021-07-21 16:01:09.607523,0,57,5.0
