pid,workerid,status,beginexp,condition,pid,bonus
0,A1R1ZB8H3Q6I2P,3,2021-07-28 19:11:28.740596,2,0,0.0
1,A25UCGZ9JUXH4W,3,2021-07-28 18:51:17.943463,2,1,0.0
2,A1J0DS9IEQEQET,3,2021-07-28 18:43:32.371695,1,2,0.05
3,A2V75SZ6J2V3L5,3,2021-07-28 18:35:20.189711,3,3,0.09
4,AONX6QGGUA3KI,3,2021-07-28 18:34:44.953186,0,4,5.0
5,A3P5RFK1C6N0PJ,3,2021-07-28 18:34:14.114645,3,5,0.09
6,A3J1YT1F9N1COM,3,2021-07-28 18:29:37.673619,3,6,0.24
7,A108TYPG5MC3DB,3,2021-07-28 18:24:48.923023,0,7,0.0
8,AKHBEZZST16H1,3,2021-07-28 18:23:24.286398,0,8,0.0
9,A260HS5POLFEZQ,3,2021-07-28 18:32:54.612579,3,9,0.21
10,A3QMIZECBG6BAD,3,2021-07-28 18:18:58.274352,2,10,2.19
11,A29SG8FWQTKYN1,3,2021-07-28 18:16:29.874786,3,11,0.29
12,A3I2Y3GDCB78ZI,3,2021-07-28 18:09:40.272316,3,12,0.14
13,A23NL5BB35VB2K,3,2021-07-28 18:03:46.640154,1,13,0.0
14,A2B6IJ4DD9A5A5,3,2021-07-28 18:04:12.880929,1,14,0.0
15,A3EF6LHOKEYFIC,3,2021-07-28 18:02:47.461097,3,15,0.1
16,A10A6MCVBCOWFR,3,2021-07-28 18:00:18.980977,1,16,0.0
17,A1TKQ8IHGEVWYX,3,2021-07-28 17:57:41.048113,0,17,5.0
18,A1HJBXPMH06RQC,3,2021-07-28 17:54:06.689781,2,18,5.0
19,A2BVQWTRY5NI6V,3,2021-07-28 17:41:51.23224,3,19,0.18
20,A23NEZNTWO11YF,3,2021-07-28 17:41:16.376258,0,20,0.0
21,A14W9IB6HI5PJH,3,2021-07-28 17:37:18.886662,1,21,0.0
22,A2HEZ4001GAES4,3,2021-07-28 17:36:39.743758,2,22,5.0
23,ADZO2VRSQC62U,3,2021-07-28 17:36:37.461699,0,23,5.0
24,A305NQ2GLB6EYH,3,2021-07-28 17:37:31.170972,1,24,0.0
25,A3QMWLH7A7NSVN,3,2021-07-28 17:33:34.526346,2,25,0.0
26,A1BSR165054DHZ,3,2021-07-28 17:32:18.275506,0,26,0.0
27,A3HBMKX19GBOGR,3,2021-07-28 17:25:02.542814,3,27,0.03
28,AVDP5ZYZU2O6O,3,2021-07-28 17:24:54.434724,1,28,0.0
29,A257UIPAZR9NTN,3,2021-07-28 17:18:31.159846,0,29,0.0
30,AHJEOTXSEOG8Q,3,2021-07-28 17:17:18.53337,2,30,2.29
31,A2N2268Q4YMMXQ,3,2021-07-28 17:17:12.230198,1,31,0.0
32,A15T05M4N5DJDP,3,2021-07-28 17:18:27.98787,2,32,0.0
33,AJRB96JC0DPF9,3,2021-07-28 17:12:51.903079,0,33,0.0
34,AIGH9LKO7Z01D,3,2021-07-28 17:08:00.801612,3,34,0.0
35,AYPHZFN3HF5HS,3,2021-07-28 16:52:36.563141,0,35,0.0
36,AXKZUB95CRN72,3,2021-07-28 16:45:11.720609,1,36,0.0
37,A3ISMAKTCB1R16,3,2021-07-28 16:43:41.139751,1,37,0.01
38,A33JMA669FWKWK,3,2021-07-28 16:46:17.781893,2,38,4.97
39,AKOIX5O1DFLJX,3,2021-07-28 16:42:40.066594,3,39,0.07
40,A3J3PBFP4AA1MV,3,2021-07-28 16:40:26.407061,0,40,5.0
41,A1IVDOYTW4O3OS,3,2021-07-28 16:33:59.620279,2,41,0.0
42,A1FZW2UO2TY4T0,3,2021-07-28 16:29:06.743496,3,42,0.09
43,A2XRKDUZM4SQ42,3,2021-07-28 16:23:18.855501,1,43,0.0
44,A13ZLTV0I0UG4D,3,2021-07-28 16:22:47.978915,3,44,0.07
45,A1AZU9E0U16J6B,3,2021-07-28 16:21:59.700741,1,45,0.02
46,AH7HOR5RFS652,3,2021-07-28 16:39:23.916509,2,46,0.0
47,AOLXCOAQTC1IB,3,2021-07-28 16:22:10.564868,2,47,4.44
48,A3A4IN69KE5N7P,3,2021-07-28 16:13:47.628096,0,48,4.89
49,A283E6HS1XI9R0,3,2021-07-28 16:13:04.935138,2,49,0.0
50,A1P88646S901EZ,3,2021-07-28 16:18:32.076673,0,50,5.0
51,ARIYEUHKZ5SXQ,3,2021-07-28 16:07:43.813491,0,51,2.1
52,AMKEGABQMZYIK,3,2021-07-28 16:04:38.416934,3,52,0.14
53,A1339I3ALOFXT1,3,2021-07-28 16:00:39.414314,0,53,4.31
54,A5JSUI6L53506,3,2021-07-28 16:00:48.68733,1,54,0.1
55,ASYP5P8QMZILT,3,2021-07-28 15:50:58.824713,3,55,0.17
56,AYHIMYRAE7RFE,3,2021-07-28 15:53:05.479172,0,56,0.0
57,A1WLS6DW73SQZO,3,2021-07-28 15:48:59.137532,2,57,0.0
58,A1N2C2BAKGZE2B,3,2021-07-28 15:48:15.072063,0,58,0.26
59,A3AE0JEXW4DB34,3,2021-07-28 15:49:18.726092,3,59,0.09
60,A2HOVWSV2UUQA4,3,2021-07-28 15:37:12.748945,2,60,4.72
61,A1K9U12WRMQX8E,3,2021-07-28 15:37:18.657788,1,61,0.01
62,A2LUL0QE90HUU5,3,2021-07-28 15:37:23.055192,1,62,0.0
63,A3Q7YXO43C7E6G,3,2021-07-28 15:31:23.030553,2,63,3.09
64,A3D2KVZO69GSX4,3,2021-07-28 15:30:15.926004,0,64,0.0
65,A2GEZ6XW9FVSPN,3,2021-07-28 15:29:08.830661,2,65,0.0
66,A1V47X2FTSIXM5,3,2021-07-28 15:27:29.793243,3,66,0.1
67,A2391QJGLV0SYV,3,2021-07-28 15:21:22.58548,3,67,0.06
68,A3RIRUMQ2CYHZA,3,2021-07-28 15:19:48.859126,1,68,0.0
69,A3RAQ0O1RGU1NL,3,2021-07-28 15:19:21.441079,1,69,0.0
70,A3MEIEN1LHMNK8,3,2021-07-28 15:22:00.699968,2,70,2.29
71,A7O1CG4QYBEIP,3,2021-07-28 15:18:42.512408,0,71,0.84
72,A133UVO2DSJ2CE,3,2021-07-28 15:20:25.530665,3,72,0.14
73,A1WRNCU7LFNGRV,3,2021-07-28 15:18:42.782463,1,73,0.02
74,A2QCNNV5FN65UM,3,2021-07-28 15:17:38.078279,2,74,1.86
75,A1HHXMUY2SUIRT,3,2021-07-28 15:23:21.99158,3,75,0.02
76,A2VUDILEXWYWRX,3,2021-07-28 15:25:05.85143,2,76,5.0
77,A2W0R8UIJADP0L,3,2021-07-28 15:08:49.943387,3,77,0.09
78,A3CGOCU0KSM5ZU,3,2021-07-28 15:07:37.229335,0,78,5.0
79,A2XS2OFYZKF9UW,3,2021-07-28 15:05:13.096939,1,79,0.0
80,A1FQDFM7BJ8GTR,3,2021-07-28 15:02:54.368965,1,80,0.0
81,A1W733PYS4GWT1,3,2021-07-28 14:59:47.315742,2,81,5.0
82,A2Z33RY61HYW6A,3,2021-07-28 14:58:57.113487,0,82,2.54
83,A2JMH1H1AYH5FR,3,2021-07-28 14:51:58.084804,2,83,5.0
84,A2UYXRPN41PLQE,3,2021-07-28 14:55:21.284688,1,84,0.05
85,A3SM9441BRDQN0,3,2021-07-28 14:50:13.38632,3,85,0.02
86,A1QY3T6RLW68R3,3,2021-07-28 14:41:46.449362,1,86,0.0
87,A1GON75HGVWTMC,3,2021-07-28 14:53:12.309007,0,87,5.0
88,A2046TO5K7O4F2,3,2021-07-28 14:43:33.986976,2,88,5.0
89,A1Q7Z4ONZMOODU,3,2021-07-28 14:43:37.342308,2,89,0.0
90,A3LEORBLIO6127,3,2021-07-28 14:39:50.731253,1,90,0.0
91,ATKUVPJEKZWKY,3,2021-07-28 14:39:04.651249,3,91,0.11
92,A2HUJDDGBAAV22,3,2021-07-28 14:36:09.891211,0,92,0.71
93,A2PWP4EIUKTSV4,3,2021-07-28 14:35:58.870488,0,93,5.0
94,AZB93TK8UL24R,3,2021-07-28 14:30:34.165948,2,94,1.15
95,AHDUC59YMB0Z4,3,2021-07-28 14:31:01.414551,0,95,0.0
96,AURV4U0LV5NFJ,3,2021-07-28 14:25:39.134602,0,96,0.0
97,A2VN0R4EGGV7KE,3,2021-07-28 14:24:39.908883,1,97,0.09
98,A15DXD3Z1AHK6C,3,2021-07-28 14:22:36.234798,1,98,0.13
99,A2A0D5GGSNXRTW,3,2021-07-28 14:20:57.764806,3,99,0.25
100,A1QN8ZXC3FNB1W,3,2021-07-28 14:19:31.722763,1,100,0.0
101,A2SI3YQJLPWPZ,3,2021-07-28 14:17:07.443192,0,101,0.63
102,A2328BC1EPV043,3,2021-07-28 14:16:15.562818,1,102,0.0
103,A1NF408HYCSN32,3,2021-07-28 14:11:52.631082,2,103,0.0
104,A29WD0WXT4I1RA,3,2021-07-28 14:10:42.024163,3,104,0.04
105,A2KWPS7YQS4HPT,3,2021-07-28 14:11:18.712367,3,105,0.07
106,A1MXO2L9F3OKWW,3,2021-07-28 14:04:59.219395,3,106,0.12
