pid,workerid,status,beginexp,condition,pid,bonus
0,AA2QBSX92J4KN,3,2021-08-03 20:20:15.048568,0,0,0.0
1,A2XNP4ZX3LB0W2,3,2021-08-03 20:17:03.824914,2,1,3.15
2,A7170U54XJ1ID,3,2021-08-03 19:48:08.104748,2,2,2.6
3,A3F966OJMV2DUB,3,2021-08-03 19:43:03.699508,0,3,1.47
4,A3JJNJWNOKRZF2,3,2021-08-03 19:41:13.51946,0,4,2.61
5,A0339715IMIIMD5R04VT,3,2021-08-03 19:39:58.458618,1,5,2.7
6,A1IOE79K3G3VQD,3,2021-08-03 19:31:53.627458,2,6,1.37
7,A1AYP82WTAI4KP,3,2021-08-03 19:30:13.288151,1,7,2.07
8,A2NH4DSOLI6VRR,3,2021-08-03 19:26:12.789053,1,8,3.21
9,A297OARE76DMYM,3,2021-08-03 19:29:30.11644,0,9,1.35
10,AQC5YBY3FYMCA,3,2021-08-03 19:20:58.233005,1,10,3.01
11,A25TZJ2W1WKVPN,3,2021-08-03 19:19:38.34994,2,11,2.29
12,A90CBDXMHJ5PH,3,2021-08-03 19:16:51.326142,0,12,2.34
13,A2RMYIOPD70KF6,3,2021-08-03 19:16:08.807013,0,13,2.75
14,AGJZZWAZKHM5Q,3,2021-08-03 19:15:59.083117,2,14,2.88
15,AN45KLUESX3NY,3,2021-08-03 19:14:44.288078,1,15,3.13
16,A2NHT31VNCQXVE,3,2021-08-03 19:14:52.140292,1,16,1.72
17,ACPZV9VCD8WZN,3,2021-08-03 19:14:09.777602,1,17,2.16
18,A2JIPCVMELZHW3,3,2021-08-03 19:10:44.6766,2,18,3.06
19,A3LAI91WJ5T9KW,6,2021-08-03 19:09:35.40062,1,19,3.03
20,A23UAKH8RLNPIY,3,2021-08-03 19:07:59.591649,0,20,2.69
21,A16K7X677N4WN6,3,2021-08-03 19:07:21.97861,2,21,2.99
22,A2S93GQU97VZTB,3,2021-08-03 19:06:39.680334,0,22,2.45
23,AUAL642CYUQU7,3,2021-08-03 19:03:54.281578,1,23,0.0
24,A2UQ3CRF8R2872,3,2021-08-03 19:03:25.528045,2,24,3.55
25,A1I7MDXE9KUFW5,3,2021-08-03 19:03:23.191299,1,25,2.43
26,A3JZH36CUA2U70,3,2021-08-03 18:59:49.482001,0,26,2.76
27,A31M5TAQ1GVS5S,3,2021-08-03 18:59:39.797766,2,27,2.33
28,A2ZV44APXV8NBB,3,2021-08-03 18:59:34.769454,1,28,1.89
29,AYL52A8P0OFGA,3,2021-08-03 18:58:37.882113,2,29,1.26
30,A3PHPF183BVUOL,3,2021-08-03 18:55:16.114997,1,30,2.4
31,A2MEK0KK1CTJ7,3,2021-08-03 18:56:10.318281,0,31,1.96
32,ADRJWRSHWKVOE,3,2021-08-03 18:54:25.130003,0,32,2.81
33,A3CIPO7J3UWBUV,3,2021-08-03 19:00:39.304457,2,33,0.64
34,A2H013DRPFHAML,3,2021-08-03 18:53:14.737718,2,34,0.38
35,AP3LRMKKR2LNK,3,2021-08-03 18:51:16.361639,1,35,0.0
36,A10OCWX3ROAGRJ,3,2021-08-03 18:50:26.232735,1,36,2.32
37,AJX8SPGPDBMFT,3,2021-08-03 18:47:04.864386,0,37,2.58
38,A2R9QZC9XZJZJO,3,2021-08-03 18:46:37.739413,2,38,3.24
39,A12RF9L2BN8B5W,3,2021-08-03 18:45:06.213387,1,39,0.0
40,A26DHMK9VDG2V2,3,2021-08-03 18:44:14.695616,0,40,0.0
41,AKIQEDN3GRJ2R,3,2021-08-03 18:45:02.760165,2,41,3.01
42,A2RLJH53UXSW98,3,2021-08-03 18:42:59.299509,0,42,2.53
43,AE2FGREX3OOZY,3,2021-08-03 18:45:33.484327,2,43,1.72
44,A2S6D35K69KPJ9,3,2021-08-03 18:42:44.623123,1,44,2.75
45,A3UWLMNKXNIMB2,3,2021-08-03 18:43:44.749251,2,45,0.79
46,A4G854NW4EU3M,3,2021-08-03 18:39:02.913036,0,46,0.69
47,A2NOU45IPGTPWW,3,2021-08-03 18:34:27.402313,1,47,3.12
48,A296XHH6LA8NU4,3,2021-08-03 18:33:56.593539,0,48,2.53
49,A2LG5FLF0102ZB,3,2021-08-03 18:32:44.731825,2,49,2.85
50,A2RJH6BNYH39I7,3,2021-08-03 18:32:16.248539,1,50,2.45
51,A1J5C3JV9LOY2E,3,2021-08-03 18:29:45.940205,1,51,2.75
52,A3KQ6ZG1ZAVJU2,3,2021-08-03 18:29:11.303437,2,52,1.18
53,A1M9GVOP0L2IWA,3,2021-08-03 18:27:19.662297,0,53,2.57
54,A2UPH4QRPS0J4G,3,2021-08-03 18:27:15.043164,1,54,3.08
55,A2QG6Z1KCT3M5H,3,2021-08-03 18:26:28.699042,1,55,2.45
56,A39D2O58VQ5GMO,3,2021-08-03 18:26:49.361352,2,56,2.44
57,A3MDBXJ9HTBTS8,3,2021-08-03 18:22:53.968657,0,57,0.0
58,A2RXIJWI9CWY88,3,2021-08-03 18:20:28.564927,2,58,1.0
59,A1BVX1SA84S4ZS,3,2021-08-03 18:20:23.441824,2,59,2.96
60,A3HAU0OCL7YSRA,3,2021-08-03 18:19:33.379052,0,60,0.16
61,A3KKY9HXZRRAIV,3,2021-08-03 18:19:46.545051,1,61,2.63
62,A1K60L7W7XQOBH,3,2021-08-03 18:17:21.977236,0,62,0.2
63,AP0RILUOP7SW6,3,2021-08-03 18:15:27.591289,2,63,3.01
64,A2M92SRP0SUE8O,3,2021-08-03 18:13:21.790961,0,64,2.84
65,A2TPOYNWNR91VF,3,2021-08-03 18:05:52.810241,0,65,2.88
66,A3203A5NWHNK97,3,2021-08-03 18:09:56.277471,1,66,2.94
67,A2QKRW1WCAQSA4,3,2021-08-03 18:05:31.939987,2,67,0.0
68,AJY6J33X1KJNP,3,2021-08-03 17:54:32.364657,0,68,2.74
69,A3RT3B73TLJBO1,3,2021-08-03 17:58:30.922729,1,69,0.68
70,A2NA20T7EWX6VV,3,2021-08-03 17:52:06.448566,0,70,2.14
71,A13DA23DJUFK85,3,2021-08-03 17:51:39.273445,2,71,0.0
72,A3RWA3Z313T7FF,3,2021-08-03 17:50:03.401347,1,72,2.67
73,A6YLZ0BYIGHO6,3,2021-08-03 17:48:43.251943,0,73,2.46
74,A1J7A9TGGG2MOJ,3,2021-08-03 17:50:22.361499,1,74,3.03
75,A3HM71PMVHZTDS,3,2021-08-03 17:46:36.545107,2,75,2.74
76,A9UX51R52NBFL,3,2021-08-03 17:46:35.099737,1,76,2.73
77,A362TH4L5H1DGV,3,2021-08-03 17:45:09.085347,0,77,2.84
