,model,decision_rule,use_pseudo_rewards,pr_weight,actor,term,selector,learner,strategy_space_type,stochastic_updating,subjective_cost,vicarious_learning,termination_value_known,montecarlo_updates,is_null,is_gaussian,bandit_prior,prior
0,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,True,True,True,True,,,strategy_weight
1,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,True,True,True,False,,,strategy_weight
2,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,True,True,False,True,,,strategy_weight
3,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,True,True,False,False,,,strategy_weight
4,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,True,False,True,True,,,strategy_weight
5,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,True,False,True,False,,,strategy_weight
6,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,True,False,False,True,,,strategy_weight
7,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,True,False,False,False,,,strategy_weight
8,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,False,True,True,True,,,strategy_weight
9,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,False,True,True,False,,,strategy_weight
10,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,False,True,False,True,,,strategy_weight
11,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,False,True,False,False,,,strategy_weight
12,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,False,False,True,True,,,strategy_weight
13,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,False,False,True,False,,,strategy_weight
14,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,False,False,False,True,,,strategy_weight
15,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,True,False,False,False,False,,,strategy_weight
16,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,True,True,True,True,,,strategy_weight
17,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,True,True,True,False,,,strategy_weight
18,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,True,True,False,True,,,strategy_weight
19,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,True,True,False,False,,,strategy_weight
20,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,True,False,True,True,,,strategy_weight
21,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,True,False,True,False,,,strategy_weight
22,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,True,False,False,True,,,strategy_weight
23,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,True,False,False,False,,,strategy_weight
24,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,False,True,True,True,,,strategy_weight
25,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,False,True,True,False,,,strategy_weight
26,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,False,True,False,True,,,strategy_weight
27,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,False,True,False,False,,,strategy_weight
28,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,False,False,True,True,,,strategy_weight
29,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,False,False,True,False,,,strategy_weight
30,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,False,False,False,True,,,strategy_weight
31,hierarchical_learner,adaptive_satisficing,True,True,lvoc,True,,,,,False,False,False,False,False,,,strategy_weight
32,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,True,True,True,True,,,strategy_weight
33,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,True,True,True,False,,,strategy_weight
34,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,True,True,False,True,,,strategy_weight
35,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,True,True,False,False,,,strategy_weight
36,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,True,False,True,True,,,strategy_weight
37,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,True,False,True,False,,,strategy_weight
38,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,True,False,False,True,,,strategy_weight
39,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,True,False,False,False,,,strategy_weight
40,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,False,True,True,True,,,strategy_weight
41,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,False,True,True,False,,,strategy_weight
42,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,False,True,False,True,,,strategy_weight
43,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,False,True,False,False,,,strategy_weight
44,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,False,False,True,True,,,strategy_weight
45,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,False,False,True,False,,,strategy_weight
46,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,False,False,False,True,,,strategy_weight
47,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,True,False,False,False,False,,,strategy_weight
48,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,False,True,True,True,True,,,strategy_weight
49,hierarchical_learner,adaptive_satisficing,True,True,lvoc,False,,,,,False,True,True,True,False,,,strategy_weight
